lat_values	lng_values	city	country	Temp	Humidity	Cloudiness	Wind Speed	Lat	Longitude
-9.739867375597925	133.98121949716904	maningrida	au	83.74	95	48	13.29	-12.05	134.23
26.91761276060474	84.34430142313403	bettiah	in	59.94	78	0	3.11	26.8	84.51
3.2307219090587154	-66.35706845192307	inirida	co	75.64	90	56	2.73	3.87	-67.92
39.373460067293905	-61.05312377394954	halifax	ca	33.8	100	90	16.11	44.65	-63.58
35.25982245398333	-96.88321522781993	shawnee	us	41.52	48	1	3.36	35.33	-96.93
26.048840079544078	-106.05694726565822	santa maria del oro	mx	62.37	36	8	8.32	25.95	-105.37
-40.68921177607196	-67.79092766004604	general roca	ar	80.6	44	0	9.78	-39.03	-67.58
66.55516308360569	36.59885594532966	solovetskiy	ru						
52.723597000656156	13.49524910882252	bernau	de	30.65	92	90	9.17	49.14	10.37
56.87923605451533	114.58091335686618	taksimo	ru	-7.79	56	20	2.51	56.36	114.84
-25.943721013148064	26.39962034112662	lichtenburg	za	54.94	80	0	3.51	-26.15	26.16
46.007006929402905	46.675694348339135	zenzeli	ru	20.79	79	20	12.91	45.92	47.05
41.36948018831933	126.81590353451611	linjiang	cn	6.34	67	44	7.09	41.81	126.91
-37.05500137371117	148.78327568434406	cooma	au	72.9	60	0	5.41	-36.24	149.13
-0.8893460910330759	171.44839390799467	tabiauea	ki						
-30.94778085517906	141.17541769720833	broken hill	au	91.44	30	0	5.86	-31.97	141.45
35.33868352092229	51.71960698827692	pishva	ir	44.6	87	75	4.7	35.31	51.73
-11.712529870756356	34.11656470415679	nkhata bay	mw	72.04	99	0	7.36	-11.61	34.3
35.820832111783034	-77.79996916712764	rocky mount	us	59	82	90	3.36	35.94	-77.8
70.91554273847174	22.05806918161406	oksfjord	no	14	78	88	4.7	70.24	22.35
9.182743561291446	83.65095771873166	batticaloa	lk	78.21	100	64	7.87	7.71	81.69
-18.800317823639247	-171.93865660258732	alofi	nu	82.4	69	0	14.99	-19.06	-169.92
-20.3320813842016	176.93104872787887	isangel	vu	82.48	96	76	17.43	-19.55	169.27
34.12971402704605	29.45914801903527	kumluca	tr	33.84	97	24	1.61	36.37	30.29
41.0380700156272	103.24500149516132	jinchang	cn	23.71	75	68	9.44	38.52	102.19
18.02464948667675	85.09247037707314	palasa	in	74.92	98	24	5.53	18.77	84.42
21.21686801373457	60.53517300325467	sur	om	71.55	93	0	1.54	22.57	59.53
-33.122703045390466	41.13180068821711	beloha	mg	69.52	95	24	3.33	-25.17	45.06
54.57851595099879	52.56191869175811	leninogorsk	ru	3.73	82	56	3.11	54.6	52.45
44.17994346128475	-61.56397167096853	port hawkesbury	ca	32	98	90	11.41	45.62	-61.36
11.66972445449494	-11.17413163233249	tougue	gn	67.27	38	0	8.14	11.45	-11.68
57.43093765150982	-132.81399192888284	juneau	us	25.84	100	75	3.36	58.3	-134.42
49.16551784013993	-72.12396791332132	dolbeau	ca						
6.703516767506656	1.1262260631050935	notse	tg	74.79	91	8	6.42	6.95	1.17
45.67443669809282	111.81919923653487	baruun-urt	mn	11.47	68	0	4.63	46.68	113.28
-10.616979519338429	51.21392796315524	ambilobe	mg	69.07	93	12	2.51	-13.19	49.05
-17.540001797360105	-48.81237336675824	caldas novas	br	70.74	81	32	6.35	-17.75	-48.62
68.23608973155822	137.42095234626134	ust-kuyga	ru	-22.15	64	36	3.89	70	135.55
-12.054005902831392	-40.35409113541763	baixa grande	br	70.51	89	92	3.56	-11.96	-40.17
-50.765294619661525	132.68340083152822	mount gambier	au	73.93	58	24	6.64	-37.83	140.78
38.65894489927652	97.63619565713213	yumen	cn	23.22	96	80	5.64	40.29	97.04
0.551947360959872	1.6330546993401924	mumford	gh	77.71	92	0	8.03	5.26	-0.76
37.41066276106005	-93.17893653928611	springfield	us	37.4	59	1	5.82	37.22	-93.29
16.924183927962417	80.97468606747583	nuzvid	in	75.2	78	75	4.12	16.79	80.85
7.038473037743117	3.6818737265803065	shagamu	ng	80.6	94	40	2.24	6.84	3.65
35.74505691666447	105.64085876070516	pingliang	cn	32.85	80	64	13.85	35.54	106.68
-4.911053843030828	127.21360335007068	ambon	id	89.6	62	40	5.82	-3.7	128.18
-32.63679909501809	174.70434290057426	kaeo	nz	73.44	85	92	9.66	-35.1	173.78
-44.91404236835644	138.7443024657648	portland	au	73.03	64	0	3.11	-33.35	149.98
49.26381776968128	-118.15642677297225	grand forks	ca	24.21	48	0	3.29	49.03	-118.46
50.12900833304937	44.78383945469972	kotovo	ru	12.46	86	80	11.05	50.32	44.8
-30.57139518438951	22.694090723429724	carnarvon	za	49.81	86	0	3.4	-30.97	22.13
50.14275741409375	179.43328793187277	beringovskiy	ru	34.2	94	88	18.72	63.05	179.32
57.23772897171449	70.20618989274402	vikulovo	ru	18.94	88	88	10.89	55.07	40.96
-33.79466646618765	39.13939233117483	richards bay	za	70.29	100	92	6.58	-28.77	32.06
-33.2246558465818	-72.4272789265113	valparaiso	cl	59	93	90	4.7	-33.04	-71.63
-39.69106288662802	177.5782921391534	wairoa	nz	79.2	61	68	8.59	-39.04	177.43
61.69153012236643	164.10686076843456	kamenskoye	ru						
47.67224525612579	-74.63855527164687	saint-michel-des-saints	ca	6.79	60	0	9.04	46.68	-73.92
-15.056315216056092	-81.37420186576475	lima	pe	61.06	91	32	0.87	-12.06	-77.04
80.65789703818243	177.55809346677188	leningradskiy	ru	25.24	95	68	17.38	69.38	178.42
59.26143230986082	86.97479192659614	belyy yar	ru	-4.01	83	40	2.24	53.6	91.39
8.582281340806261	-50.618069690765964	sinnamary	gf	76.77	100	92	11.68	5.38	-52.96
16.728126118635984	-88.83453133042322	benque viejo	bz						
-4.947958263829705	115.50889052612285	martapura	id	84.2	79	20	4.7	-3.41	114.85
-35.06123298851066	149.69588333354352	goulburn	au	77.04	63	0	3.89	-34.75	149.72
11.545287784056455	-100.92401476236036	acapulco	mx	80.6	78	40	5.82	16.86	-99.88
-29.748124151439647	163.8420493275632	noumea	nc	80.6	88	100	19.46	-22.28	166.46
63.66547680626189	38.38092796688761	onega	ru	14.49	91	80	7.31	63.91	38.09
42.94340011124095	84.0944578072232	kuche	cn						
-5.8932143013357745	109.29034964838621	kramat	id	84.2	79	20	13.87	-7.04	112.64
48.669547265634606	-59.13704556841101	stephenville	ca	28.4	92	90	11.41	48.55	-58.59
-18.171289869246465	-72.09093816389634	ilo	pe	63.72	96	0	2.21	-17.65	-71.34
